sample_id,price,extracted_text,text_length,word_count,confidence_score,char_count,line_count,has_numbers,has_currency,has_brand_keywords,has_size_info,has_material_info,has_color_info
261251,1.97,Cickan s Wi hewe 9,18,5,63.75,14,1,True,False,False,False,False,False
55858,30.34,"BLUE
CHEESE
POWDER

11.25 02",28,5,87.16666666666667,27,5,True,False,False,False,False,True
191846,5.99,"s THE PERFEGT
easoning THe ERFECT
Bas 3

@W

EEEEEEE",52,10,71.3076923076923,47,7,True,False,False,False,False,False
222007,94.0,"b
V
O
Z
V
<
>
Ll
g
=

TROUSSE DE VINIFICATION

U

SEMAINES | makes/propuit 231 6Us gal",86,20,73.96,79,16,True,False,False,False,False,False
238044,31.8,"Back Raspoer Black. Kav‘r;u‘.“

e o",35,6,42.142857142857146,31,3,False,False,False,False,False,True
21740,6.98,". COOKIE
% DOUGH .~

Sy Yo

P

NETWT. 1.5",41,10,54.44444444444444,36,8,True,False,False,False,False,False
170292,4.255,"ST
NATURAL

N",13,3,36.0,13,4,False,False,False,False,False,False
71500,1.67,"[
m—

LOW CALORIE ] LOW CALORIE
ZERO SUGAR ZERO SUGAR
ADDED ‘ ADDED

[ — gy

LOW CALORIE
ZERO SUGAR
ADDED

LYTE

'''''''

y Banana

BODYARMOR

(828mL) Bottles

)
Strawberr",171,31,86.89795918367346,156,25,True,False,False,False,False,False
266475,81.44,"ORGANIC
APPLE
CIDER

VINEGAR",28,4,92.4,28,5,False,False,False,False,False,False
88520,56.72,"THIS SALT DOES NOT SUPPLY

B (ODIDE, ANECESSARY NUTRIENT. NETWT 10 0Z (283g) E'",79,14,72.5625,67,3,True,False,False,False,False,False
125583,5.47,"SINCE 1908

BUSH'S

=

Bar becae

_—
BAKED BEANS

’/r ‘h&
p - > |

—
e~
s-\",75,18,71.5,68,17,True,False,False,False,False,False
271423,109.97,"xBIIlI(
SUPPLEMENTS cow’

TREHALOSE
POWDER

1000

5g 5kg
PER SERVING WEIGHT SERVINGS",84,12,88.0,79,10,True,False,False,False,False,False
